year,male,female
1971,19.15955,7.747962
1972,18.9058,8.350213
1973,18.43134,7.426606
1974,19.23102,8.438783
1975,18.66548,9.46524
1976,19.73664,9.491047
1977,22.41677,11.14024
1978,24.58786,11.76284
1979,25.14716,12.22354
1980,25.43906,13.27547
1981,26.31382,12.13564
1982,26.74868,11.46261
1983,26.91315,13.17877
1984,28.83404,12.49918
1985,27.58702,12.08548
1986,26.65812,11.64273
1987,27.84456,11.00628
1988,24.33073,10.16998
1989,23.77078,9.148507
1990,22.98705,9.330912
1991,22.46683,8.275788
1992,23.03405,8.604388
1993,27.39968,9.10681
1994,27.13221,9.127212
1995,27.09059,9.434156
1998,25.35307,8.5783
1999,23.3854,7.752482
2004,24.10343,8.197042
2004,16.92072868,1.82664001
2004,7.956352234,4.418571949
2004,18.21920967,12.63560295
2004,2.969733477,1.176829338
1985,16.3323,4.601067
1986,18.28368,5.578468
1987,17.01955,5.648069
1988,15.55702,4.264499
1989,16.46358,3.86869
1990,17.07744,3.785358
1991,19.39172,3.27064
2004,18.32401085,6.068046093
2004,13.51235485,9.206121445
1982,5.755142,1.947609
1983,6.410013,2.26725
1984,6.256275,2.021245
1985,5.968798,1.853886
1986,5.911354,1.943074
1987,6.251299,1.93474
1988,5.751139,1.841214
1989,5.703507,1.668564
1990,5.882924,1.874173
1991,6.350536,1.790918
1992,6.344799,1.68751
1993,6.478353,1.6468
1994,6.76115,1.734251
1995,7.532055,1.895723
1996,7.540172,1.842513
1997,7.696878,1.82712
1998,7.559261,1.810481
1999,7.024154,1.499834
2000,7.046959,1.642224
2001,7.816219,1.801882
2002,7.419659,1.923308
2003,7.534978,1.771712
2004,7.456256,1.858153
2004,2.314272642,0.375145286
1964,12.42583,4.988511
1965,11.98519,5.975726
1966,13.80761,5.58489
1967,14.45061,5.478089
1968,12.91787,6.077128
1969,14.96132,6.873514
1970,15.68739,6.879066
1971,16.56146,6.43973
1972,15.01032,6.071483
1973,15.31942,6.03754
1974,16.5959,6.5073
1975,16.90427,6.496712
1976,18.26727,7.020559
1977,18.83344,6.84496
1978,17.51578,6.798341
1979,17.9175,7.439748
1980,17.07483,7.046616
1981,17.22673,6.696206
1982,19.59806,7.364737
1983,17.09483,5.688814
1984,21.47015,7.712174
1985,20.39728,7.307676
1986,19.65689,7.483826
1987,21.20062,7.293007
1988,20.13602,7.417935
1989,20.532,7.1627
1990,18.2777,6.729357
1991,19.76532,6.157265
1992,22.5407,7.011856
1993,21.06948,7.656058
1994,21.0789,7.263122
1995,20.62824,7.016848
1996,22.6841,7.075727
1997,20.29183,7.83246
1998,21.72878,7.508582
1999,19.59204,5.760809
2000,20.47067,6.385141
2001,19.37578,6.135974
2002,19.95738,5.639285
2003,16.42971,5.019393
2004,15.23398,4.429179
2004,11.11455154,5.665971756
2004,23.38735199,7.297821045
2004,6.975902557,3.420325994
2004,9.264327049,5.32839632
1950,12.51228,3.701859
1951,11.79205,3.834756
1952,11.81356,3.627389
1953,11.74572,3.410489
1954,11.7628,3.741708
1955,11.60801,3.635554
1956,12.81928,3.781025
1957,12.84387,3.565373
1958,13.10699,3.267719
1959,12.77226,3.432731
1960,13.38076,3.347038
1961,13.31418,3.285075
1962,12.55741,3.417043
1963,12.78528,4.184049
1964,13.86395,4.573519
1965,14.53212,5.013979
1966,14.28775,4.816313
1967,14.71367,5.281665
1968,15.73342,5.707197
1969,16.94827,6.693918
1970,17.57492,6.85581
1971,18.49803,6.870836
1972,18.37494,7.348289
1973,18.82068,7.401609
1974,19.31564,7.404959
1975,18.13231,7.020964
1976,18.59252,7.364343
1977,21.10947,7.323486
1978,22.04765,7.249467
1979,20.92013,6.893365
1980,20.71511,6.64391
1981,20.54513,6.568106
1982,21.6451,6.296635
1983,22.32728,6.628303
1984,20.37497,5.813638
1985,19.35044,5.098656
1986,21.53621,5.993124
1987,20.88439,5.735684
1988,20.1366,5.511722
1989,19.67531,5.555664
1990,19.16189,4.865834
1991,20.17595,4.760344
1992,19.44672,5.139292
1993,19.56115,4.978075
1994,19.14119,4.922986
1995,20.02859,5.047436
1996,19.53172,5.167635
1997,18.1415,4.624682
1998,18.03863,4.641982
1999,19.48591,4.892793
2000,16.7276,4.77592
2001,16.87974,4.744035
2002,16.43473,4.632044
2003,16.5229,4.803301
2004,15.45435,4.828558
2004,6.932240009,4.764701843
2004,19.05239296,8.773792267
2004,11.47701836,5.371674538
1955,10.14658,1.705518
1956,15.55472,3.286162
1957,16.05564,2.787757
1958,13.85695,2.964926
1959,11.89201,2.39578
1960,15.52745,3.64664
1961,14.98439,4.176262
1962,13.58447,2.89764
1963,8.365624,0.8644308
1964,5.9983,1.288428
1965,3.899587,1.139999
1966,13.75362,3.682542
1967,4.736737,0.7630991
1968,17.60976,3.92298
1969,14.13075,3.416939
1970,12.57828,2.793142
1971,12.44193,2.091359
1972,11.66373,2.313092
1973,10.65717,2.220561
1974,11.86406,1.960531
1975,14.49703,2.509824
1976,11.0874,2.519268
1977,12.69665,1.640443
1978,10.73624,1.852657
1979,11.62537,2.253324
1980,9.521648,1.48823
1981,11.19215,2.07544
1982,11.66377,1.493241
1983,11.23366,1.791543
1984,12.28858,1.742825
1985,11.34721,2.013265
1986,10.16231,2.029685
1987,10.46597,2.036328
1988,10.52443,1.897084
1989,10.99345,1.596402
1990,11.00416,1.726302
1991,11.09824,2.030589
1992,9.234569,1.422202
1993,10.30432,1.73219
1994,11.1224,1.426363
1995,12.47464,1.791788
